"","Means","SD","unwarming"
"Nodes",504.17,6.33900065411965,"577"
"Edges",595,0,"595"
"Average_Local_Clustering_Coefficient",0.003147288767,0.00312727712454315,"0.2510117"
"Connectance",0.00469309985,0.000118320160406132,"0.003580541"
"Edge_Connectivity",0,0,"0"
"Average_Degree",2.36068476,0.0297109782098174,"2.062392"
"Average_Shortest_Path_Length",7.96797544,0.288871981107892,"4.834518"
"Diameter",19.57,2.11896201004171,"13.24713"
"Degree_Centralization",0.01087370025,0.00193017731970153,"0.03287779"
"Betweenness_Centralization",0.0972577922,0.0212105307156549,"0.03598857"
"Closeness_Centralization",1.65476121,0.0299699273145312,"0.8381643"
"Eigenvector_Centralization",0.927435854,0.0268534028309918,"0.978709"
"No_Cluster",13.85,3.47392887350645,"135"
"Average_Local_Efficiency",0.0671683264,0.00511343630040939,"0.1608509"
"Relative_Modularity",0.09471394775,0.0344557828630609,"0.3017658"
